년도,격자코드,구분,총인구
2024,다라009530,to_in_001,0
2024,다라009532,to_in_001,8
2024,다라009533,to_in_001,8
2024,다라009534,to_in_001,23
2024,다라009536,to_in_001,5
2024,다라009568,to_in_001,5
2024,다라009598,to_in_001,0
2024,다라009599,to_in_001,8
2024,다라009600,to_in_001,0
2024,다라009604,to_in_001,5
2024,다라009611,to_in_001,0
2024,다라009612,to_in_001,5
2024,다라009616,to_in_001,5
2024,다라009629,to_in_001,0
2024,다라009630,to_in_001,5
2024,다라009678,to_in_001,5
2024,다라009679,to_in_001,13
2024,다라009680,to_in_001,13
2024,다라009699,to_in_001,8
2024,다라009700,to_in_001,8
2024,다라009703,to_in_001,8
2024,다라009704,to_in_001,0
2024,다라009838,to_in_001,5
2024,다라009839,to_in_001,5
2024,다라009840,to_in_001,5
2024,다라009841,to_in_001,0
2024,다라009844,to_in_001,5
2024,다라009849,to_in_001,5
2024,다라009929,to_in_001,5
2024,다라009953,to_in_001,5
2024,다라009967,to_in_001,8
2024,다라009968,to_in_001,8
2024,다라009969,to_in_001,5
2024,다라009990,to_in_001,5
2024,다라009991,to_in_001,8
2024,다라010200,to_in_001,5
2024,다라010201,to_in_001,18
2024,다라010202,to_in_001,5
2024,다라010218,to_in_001,5
2024,다라010304,to_in_001,5
2024,다라010306,to_in_001,8
2024,다라010307,to_in_001,5
2024,다라010308,to_in_001,13
2024,다라010309,to_in_001,13
2024,다라010310,to_in_001,5
2024,다라010311,to_in_001,0
2024,다라010315,to_in_001,0
2024,다라010393,to_in_001,5
2024,다라010400,to_in_001,13
2024,다라010402,to_in_001,5
2024,다라010403,to_in_001,8
2024,다라010404,to_in_001,8
2024,다라010406,to_in_001,5
2024,다라010412,to_in_001,0
2024,다라010413,to_in_001,33
2024,다라010416,to_in_001,14
2024,다라010454,to_in_001,33
2024,다라010455,to_in_001,48
2024,다라010456,to_in_001,122
2024,다라010457,to_in_001,107
2024,다라010458,to_in_001,8
2024,다라010459,to_in_001,33
2024,다라010460,to_in_001,110
2024,다라010461,to_in_001,95
2024,다라010462,to_in_001,206
2024,다라010463,to_in_001,212
2024,다라010464,to_in_001,66
2024,다라010465,to_in_001,99
2024,다라010466,to_in_001,79
2024,다라010469,to_in_001,5
2024,다라010471,to_in_001,592
2024,다라010472,to_in_001,304
2024,다라010473,to_in_001,185
2024,다라010474,to_in_001,430
2024,다라010475,to_in_001,471
2024,다라010476,to_in_001,198
2024,다라010478,to_in_001,256
2024,다라010479,to_in_001,8
2024,다라010480,to_in_001,8
2024,다라010481,to_in_001,48
2024,다라010482,to_in_001,5
2024,다라010483,to_in_001,730
2024,다라010484,to_in_001,462
2024,다라010485,to_in_001,368
2024,다라010486,to_in_001,204
2024,다라010487,to_in_001,0
2024,다라010490,to_in_001,5
2024,다라010491,to_in_001,5
2024,다라010492,to_in_001,5
2024,다라010493,to_in_001,488
2024,다라010494,to_in_001,8
2024,다라010500,to_in_001,5
2024,다라010508,to_in_001,5
2024,다라010509,to_in_001,5
2024,다라010513,to_in_001,8
2024,다라010514,to_in_001,23
2024,다라010515,to_in_001,18
2024,다라010516,to_in_001,5
2024,다라010527,to_in_001,0
2024,다라010528,to_in_001,5
2024,다라010531,to_in_001,8
