행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
강서구,교습소,신미라수학교습소,서울특별시 강서구 공항대로53가길 7,입시.검정 및 보습,보통교과,,5,20210525,20231018
강남구,학원,에듀아고라학원,서울특별시 강남구 강남대로84길 8,종합(대),,"진학상담지도,실용외국어(유아/초?중?고),",4003,20210524,20231018
종로구,교습소,어바웃아트미술교습소,서울특별시 종로구 사직로8길 20,예능(대),예능(중),,12,20210526,20240225
성동구,교습소,논리탄탄독서논술교습소,서울특별시 성동구 금호로 102,입시.검정 및 보습,보통교과,,10,20210524,20231018
노원구,교습소,드림하이영어교습소,서울특별시 노원구 노원로1길 21,입시.검정 및 보습,보통교과,초등영어,45,20210527,20260802
서대문구,교습소,블라썸영어교습소,서울특별시 서대문구 홍은중앙로 98,입시.검정 및 보습,보통교과,초등영어A,50,20210527,20240908
강남구,교습소,한우리강남언북독서토론논술교습소,서울특별시 강남구 학동로67길 7,입시.검정 및 보습,보통교과,중등 논술,10,20210527,20250413
노원구,교습소,리에또음악교습소,서울특별시 노원구 마들로 59,예능(대),예능(중),피아노 초급1-1,54,20210527,20260201
구로구,학원,키즈앤수학(메타관)학원,서울특별시 구로구 경인로59길 8,입시.검정 및 보습,보통교과,보습,105,20210527,20250824
구로구,학원,구일수학삼성영어학원,서울특별시 구로구 구일로4길 30,입시.검정 및 보습,보통교과,보습?논술,795,20210527,20260329
중랑구,학원,포레스트영수학원,서울특별시 중랑구 공릉로 21,입시.검정 및 보습,보통교과,보습?논술,40,20210527,20260607
강남구,교습소,대치스마트해법수학교습소,서울특별시 강남구 개포로109길 9,입시.검정 및 보습,보통교과,,16,20210528,20231018
양천구,교습소,유니크수학교습소,서울특별시 양천구 목동중앙남로 7-1,입시.검정 및 보습,보통교과,,25,20210528,20231018
광진구,학원,나무수학학원,서울특별시 광진구 군자로 109,입시.검정 및 보습,보통교과,보습,120,20210531,20250112
양천구,학원,고양이국어전문학원,서울특별시 양천구 목동서로 133-2,입시.검정 및 보습,보통교과,보습,648,20210531,20251123
은평구,교습소,빛나는피아노음악교습소,서울특별시 은평구 증산서길 62,예능(대),예능(중),피아노 초급,28,20210526,20250126
은평구,학원,은평점더블유플러스수학보습학원,서울특별시 은평구 진관2로 19,입시.검정 및 보습,보통교과,"보습,",528,20210526,20231018
도봉구,교습소,다비수(Dabisu)수학교습소,서울특별시 도봉구 덕릉로63가길 61,입시.검정 및 보습,보통교과,D-INTER초등수학,36,20210601,20231018
서대문구,학원,잉글리쉬하우스영어전문학원,서울특별시 서대문구 통일로9길 12,입시.검정 및 보습,보통교과,"보습,",90,20210531,20231018
금천구,교습소,하연과학교습소,서울특별시 금천구 금하로 816,입시.검정 및 보습,보통교과,초등 실험과학(일60분*주1회*4.2주),30,20210601,20240428
중랑구,학원,비콘힐영수학원,서울특별시 중랑구 숙선옹주로 85,입시.검정 및 보습,보통교과,보습?논술,160,20210601,20250914
노원구,교습소,더피아노교습소,서울특별시 노원구 노원로22길 77,예능(대),예능(중),피아노 기초(바이엘),1,20210602,20240225
용산구,학원,수학의신학원,서울특별시 용산구 소월로20길 52,입시.검정 및 보습,보통교과,보습,32,20210601,20241215
양천구,학원,라온미술학원,서울특별시 양천구 목동동로12길 20,예능(대),예능(중),미술,50,20210602,20260426
강서구,학원,올라음악학원,서울특별시 강서구 공항대로 103,예능(대),예능(중),음악,140,20210602,20260719
강서구,학원,코딩클래스학원,서울특별시 강서구 수명로 76,기타(대),기타(중),"컴퓨터(소),",256,20210602,20240609
